Debt Category,,Amount Outstanding,,,Amount Outstanding,
Debt Category,in USD,in NGN,,,,
A.   External Debt (FGN +State & FCT Only),,,,,,
.   External Debt (FGN +State & FCT Only),"22,071.91","6,746,279.2",,,,
B.   Domestic Debt (FGN Only),"41,147.58","12,576,758.18",,,,
C.   Domestic Debt (States + FCT) *,,,,,,
.   Domestic Debt (States + FCT) *,"11,059.37","3,384,166.3",,,,
D.  Sub-Total – Domestic Debt (FGN + States & FCT),"52,206.95","15,960,924.50",,,,
E. Total (A+D),,,,,,
. Total (A+D),"74,278.86","22,707,203.7",,,,
Debt Category
Debt Category
A.   External Debt (FGN +State & FCT Only)
.   External Debt (FGN +State & FCT Only)
C.   Domestic Debt (States + FCT) *
.   Domestic Debt (States + FCT) *
