Debt Category
Debt Category
Debt Category,,Amount Outstanding,,,Amount Outstanding,,,
"",Debt Category,in USD,in NGN,,,,,
"",.   External Debt (FGN +States & FCT),,,"21,591.68",,,"6,614,611.17",
B.   Domestic Debt (FGN Only),"40,107.11","12,286,812.35",,,,,,
C.   Domestic Debt (States + FCT),,,,,,,,
.   Domestic Debt (States + FCT),"11,514.21","3,527,379.42",,,,,,
D.  Sub-Total – Domestic Debt (FGN + States & FCT),"51,621.32","15,814,191.77",,,,,,
E.  Total (A+D),,,,,,,,
.  Total (A+D),"73,213.00","22,428,802.94",,,,,,
C.   Domestic Debt (States + FCT)
.   Domestic Debt (States + FCT)
