,Debt Category,"Amount Outstanding inUSD","Amount Outstanding inNGN",Unnamed: 3,file,"Amount Outstandingin NGN",Amount Outstanding in NGN,Unnamed: 1,Amount Outstanding,Unnamed: 4,Amount Outstanding.1,Unnamed: 6,Unnamed: 0,Amount Outstanding (US$M),Amount Outstanding (NM),"Amount Outstanding(US$M)","Amount Outstanding(NM)",% of Total,Unnamed: 5,Unnamed: 2,"AmountOutstanding",Unnamed: 8,Unnamed: 10,"AmountOutstanding(NM)"
0,A.,External Debt Stock (FGN + States),"11,261.89","3,187,114.87",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\1538.csv,,,,,,,,,,,,,,,,,,,
1,,Domestic Debt Stock (FGN Only),"37,478.21","10,606,334.22",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\1538.csv,,,,,,,,,,,,,,,,,,,
2,,Sub-Total,"48,740.10","13,793,449.09",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\1538.csv,,,,,,,,,,,,,,,,,,,
3,B.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\1538.csv,,,,,,,,,,,,,,,,,,,
4,,Domestic Debt of States*,"12,706.91","2,503,260.42",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\1538.csv,,,,,,,,,,,,,,,,,,,
5,C.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\1538.csv,,,,,,,,,,,,,,,,,,,
6,Grand-Total (A+B),"61,447.01","16,296,709.51",,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\1538.csv,,,,,,,,,,,,,,,,,,,
0,A.,External Debt Stock (FGN + States),"11,194.65","2,205,346.05",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\1539.csv,,,,,,,,,,,,,,,,,,,
1,,Domestic Debt Stock (FGN Only),"50,609.41","9,970,053.22",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\1539.csv,,,,,,,,,,,,,,,,,,,
2,,Sub-Total,"61,804.06","12,175,399.27",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\1539.csv,,,,,,,,,,,,,,,,,,,
3,B.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\1539.csv,,,,,,,,,,,,,,,,,,,
4,,Domestic Debt of States*,"9,852.25","1,655,178.71",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\1539.csv,,,,,,,,,,,,,,,,,,,
5,C.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\1539.csv,,,,,,,,,,,,,,,,,,,
6,Grand-Total (A+B),"71,656.31","13,830,577.98",,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\1539.csv,,,,,,,,,,,,,,,,,,,
0,A.,External Debt Stock (FGN + States),"11,582.59","3,535,585.60",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\1973.csv,,,,,,,,,,,,,,,,,,,
1,,Domestic Debt Stock (FGN Only),"35,528.97","10,845,218.31",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\1973.csv,,,,,,,,,,,,,,,,,,,
2,,Sub-Total,"47,111.56","14,380,803.91",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\1973.csv,,,,,,,,,,,,,,,,,,,
3,B.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\1973.csv,,,,,,,,,,,,,,,,,,,
4,,Domestic Debt of States*,"12,706.91","2,503,260.42",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\1973.csv,,,,,,,,,,,,,,,,,,,
5,C.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\1973.csv,,,,,,,,,,,,,,,,,,,
6,Grand-Total (A+B),"59,818.47","16,884,064.33",,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\1973.csv,,,,,,,,,,,,,,,,,,,
0,A.,External Debt Stock (FGN + States),"11,406.28","3,478,915.40",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\1974.csv,,,,,,,,,,,,,,,,,,,
1,,Domestic Debt Stock (FGN Only),"36,256.41","11,058,204.30",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\1974.csv,,,,,,,,,,,,,,,,,,,
2,,Sub-Total,"47,662.69","14,537,119.70",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\1974.csv,,,,,,,,,,,,,,,,,,,
3,B.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\1974.csv,,,,,,,,,,,,,,,,,,,
4,,Domestic Debt of States*,"9,728.84","2,822,889.88",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\1974.csv,,,,,,,,,,,,,,,,,,,
5,C.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\1974.csv,,,,,,,,,,,,,,,,,,,
6,Grand-Total (A+B),"57,391.53","17,360,009.58",,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\1974.csv,,,,,,,,,,,,,,,,,,,
0,A.,External Debt Stock (FGN + States),"13,807.59","4,229,955.20",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2075.csv,,,,,,,,,,,,,,,,,,,
1,,Domestic Debt Stock (FGN Only),"39,077.32","11,971,336.53",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2075.csv,,,,,,,,,,,,,,,,,,,
2,,Sub-Total,"52,884.91","16,201,291.73",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2075.csv,,,,,,,,,,,,,,,,,,,
3,B.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2075.csv,,,,,,,,,,,,,,,,,,,
4,,Domestic Debt of States*,"9,985.16","2,958,517.43",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2075.csv,,,,,,,,,,,,,,,,,,,
5,C.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2075.csv,,,,,,,,,,,,,,,,,,,
6,Grand-Total (A+B),"62,870.07","19,159,809.16",,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2075.csv,,,,,,,,,,,,,,,,,,,
0,,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2170.csv,,,,,,,,,,,,,,,,,,,
1,A,External Debt Stock (FGN + States),"15,047.00","4,602,877.30",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2170.csv,,,,,,,,,,,,,,,,,,,
2,,Domestic Debt Stock (FGN only),"39,337.86","12,033,450.02",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2170.csv,,,,,,,,,,,,,,,,,,,
3,,Sub-Total,"54,384.86","16,636,327.32",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2170.csv,,,,,,,,,,,,,,,,,,,
4,B,Domestic Debt of States,"9,809.27","3,000,655.34",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2170.csv,,,,,,,,,,,,,,,,,,,
5,C,Grand Total,"64,194.13","19,636,982.66",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2170.csv,,,,,,,,,,,,,,,,,,,
0,A.,External Debt Stock (FGN + States),,"4,693,913.75",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2255.csv,"15,352.13",,,,,,,,,,,,,,,,,,
1,,Domestic Debt Stock (FGN Only),,"12,495,784.04",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2255.csv,"40,869.29",,,,,,,,,,,,,,,,,,
2,,Sub-Total,,"17,189,697.78",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2255.csv,"56,221.42",,,,,,,,,,,,,,,,,,
3,B.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2255.csv,,,,,,,,,,,,,,,,,,,
4,,Domestic Debt of States*,,"3,183,730.80",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2255.csv,"10,412.86",,,,,,,,,,,,,,,,,,
5,C.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2255.csv,,,,,,,,,,,,,,,,,,,
6,Grand-Total (A+B),"66,634.27",,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2255.csv,"20,373,428.59",,,,,,,,,,,,,,,,,,
0,A.,External Debt Stock (FGN + States),,"5,787,512.64",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2380.csv,,"18,913.44",,,,,,,,,,,,,,,,,
1,,Domestic Debt Stock (FGN Only),,"12,589,486.13",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2380.csv,,"41,142.11",,,,,,,,,,,,,,,,,
2,,Sub-Total,,"18,376,998.77",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2380.csv,,"60,055.55",,,,,,,,,,,,,,,,,
3,B.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2380.csv,,,,,,,,,,,,,,,,,,,
4,,Domestic Debt of States*,,"3,348,774.26",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2380.csv,,"10,943.71",,,,,,,,,,,,,,,,,
5,C.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2380.csv,,,,,,,,,,,,,,,,,,,
6,Grand-Total (A+B),"70,999.26",,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2380.csv,,"21,725,773.03",,,,,,,,,,,,,,,,,
0,Debt Category,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2470.csv,,,in USD,in NGN,,,,,,,,,,,,,,,
1,A.   External Debt (FGN +State & FCT Only),,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2470.csv,,,,,,,,,,,,,,,,,,,
