identifier,Unnamed: 0,Debt Category,Amount Outstanding in-USD,Amount Outstanding in-NGN,Unnamed: 3,Amount Outstanding-in NGN,Amount Outstanding in NGN,Unnamed: 1,Amount Outstanding,Unnamed: 4,Amount Outstanding.1,Unnamed: 6,Unnamed: 0.1,Amount Outstanding (US$-M),Amount Outstanding (N-M),Amount Outstanding-(US$-M),Amount Outstanding-(N-M),% of Total,Unnamed: 5,Unnamed: 2,Amount-Outstanding,Unnamed: 8,Unnamed: 10,Amount-Outstanding-(N-M),filename,debt_cat,amt_in_USD_inM,amt_in_NGN_inM
1,0,A.,External Debt Stock (FGN + States),11261.89,3187114.87,,,,,,,,,,,,,,,,,,,,1538.csv,External Debt Stock (FGN + States),,
2,1,,Domestic Debt Stock (FGN Only),37478.21,10606334.22,,,,,,,,,,,,,,,,,,,,1538.csv,,,
3,2,,Sub-Total,48740.10,13793449.09,,,,,,,,,,,,,,,,,,,,1538.csv,,,
4,3,B.,,,,,,,,,,,,,,,,,,,,,,,1538.csv,,,
5,4,,Domestic Debt of States*,12706.91,2503260.42,,,,,,,,,,,,,,,,,,,,1538.csv,,,
6,5,C.,,,,,,,,,,,,,,,,,,,,,,,1538.csv,,,
7,6,Grand-Total (A+B),61447.01,16296709.51,,,,,,,,,,,,,,,,,,,,,1538.csv,Grand-Total (A+B),61447.01,16296709.51
8,0,A.,External Debt Stock (FGN + States),11194.65,2205346.05,,,,,,,,,,,,,,,,,,,,1539.csv,External Debt Stock (FGN + States),,
9,1,,Domestic Debt Stock (FGN Only),50609.41,9970053.22,,,,,,,,,,,,,,,,,,,,1539.csv,,,
10,2,,Sub-Total,61804.06,12175399.27,,,,,,,,,,,,,,,,,,,,1539.csv,,,
11,3,B.,,,,,,,,,,,,,,,,,,,,,,,1539.csv,,,
12,4,,Domestic Debt of States*,9852.25,1655178.71,,,,,,,,,,,,,,,,,,,,1539.csv,,,
13,5,C.,,,,,,,,,,,,,,,,,,,,,,,1539.csv,,,
14,6,Grand-Total (A+B),71656.31,13830577.98,,,,,,,,,,,,,,,,,,,,,1539.csv,Grand-Total (A+B),71656.31,13830577.98
15,0,A.,External Debt Stock (FGN + States),11582.59,3535585.60,,,,,,,,,,,,,,,,,,,,1973.csv,External Debt Stock (FGN + States),,
16,1,,Domestic Debt Stock (FGN Only),35528.97,10845218.31,,,,,,,,,,,,,,,,,,,,1973.csv,,,
17,2,,Sub-Total,47111.56,14380803.91,,,,,,,,,,,,,,,,,,,,1973.csv,,,
18,3,B.,,,,,,,,,,,,,,,,,,,,,,,1973.csv,,,
19,4,,Domestic Debt of States*,12706.91,2503260.42,,,,,,,,,,,,,,,,,,,,1973.csv,,,
20,5,C.,,,,,,,,,,,,,,,,,,,,,,,1973.csv,,,
